Account,Invoice Number,Allocation Title,Invoice Status,Date,Due Date,Invoice Total,Last Paid Date,Paid,Due
30012546039,102950,10012025 - 2107,Authorized,3/1/2026 0:00,3/16/2026 0:00,127.78,,0,127.78
30014217324,103305,09012025 - 1696,Authorized,3/1/2026 0:00,3/16/2026 0:00,52.47,,0,52.47
35014738179,103257,09012025 - 1647,Authorized,3/1/2026 0:00,3/16/2026 0:00,14.59,,0,14.59
35013733932,102882,11012025 - 2281,Authorized,3/1/2026 0:00,3/16/2026 0:00,79.81,,0,79.81
30016185255,103125,09012025 - 1661,Authorized,3/1/2026 0:00,3/16/2026 0:00,72.2,,0,72.2
30015993592,102943,11012025 - 2329,Authorized,3/1/2026 0:00,3/16/2026 0:00,60.99,,0,60.99
30012802853,103180,10012025 - 1707,Authorized,3/1/2026 0:00,3/16/2026 0:00,61.22,,0,61.22
30011366306,102840,10012025 - 1869,Authorized,3/1/2026 0:00,3/16/2026 0:00,60.1,,0,60.1
30012956964,102820,10012025 - 1969,Authorized,3/1/2026 0:00,3/16/2026 0:00,37.01,,0,37.01
30016689108,102975,10012025 - 2238,Authorized,3/1/2026 0:00,3/16/2026 0:00,48.21,,0,48.21
30016905462,103175,10012025 - 1915,Authorized,3/1/2026 0:00,3/16/2026 0:00,24.45,,0,24.45
35014736165,102898,09012025 - 1662,Authorized,3/1/2026 0:00,3/16/2026 0:00,29.38,,0,29.38
35012631608,102980,07012025 - 1089,Authorized,3/1/2026 0:00,3/16/2026 0:00,16.39,,0,16.39
35016686038,102905,07012025 - 855,Authorized,3/1/2026 0:00,3/16/2026 0:00,23.56,,0,23.56
35016231017,103119,07012025 - 990,Authorized,3/1/2026 0:00,3/16/2026 0:00,23.56,,0,23.56
35012999591,102926,07012025 - 702,Authorized,3/1/2026 0:00,3/16/2026 0:00,12.8,,0,12.8
35010486047,102891,07012025 - 816,Authorized,3/1/2026 0:00,3/16/2026 0:00,53.59,,0,53.59
35016249746,103149,07012025 - 678,Authorized,3/1/2026 0:00,3/16/2026 0:00,20.43,,0,20.43
35011216153,102964,07012025 - 719,Paid,3/1/2026 0:00,3/16/2026 0:00,21.1,3/1/2026 12:00,21.1,0
35011562838,103112,07012025 - 1060,Paid,3/1/2026 0:00,3/16/2026 0:00,0,,0,0
35015388040,103260,07012025 - 1080,Paid,3/1/2026 0:00,3/16/2026 0:00,0,,0,0
30015435735,103189,07012025 - 854,Authorized,3/1/2026 0:00,3/16/2026 0:00,25.13,,0,25.13
35013541350,103093,07012025 - 941,Authorized,3/1/2026 0:00,3/16/2026 0:00,55.84,,0,55.84
30010247523,103250,07012025 - 806,Paid,3/1/2026 0:00,3/16/2026 0:00,0,,0,0
30012266851,103224,07012025 - 699,Authorized,3/1/2026 0:00,3/16/2026 0:00,15.94,,0,15.94
35010605828,103171,07012025 - 892,Authorized,3/1/2026 0:00,3/16/2026 0:00,47.54,,0,47.54
35012313728,103201,07012025 - 1019,Authorized,3/1/2026 0:00,3/16/2026 0:00,7.65,,0,7.65
30010166236,103146,07012025 - 677,Authorized,3/1/2026 0:00,3/16/2026 0:00,17.06,,0,17.06
35013059460,102995,07012025 - 1154,Authorized,3/1/2026 0:00,3/16/2026 0:00,88.33,,0,88.33
30016228485,103039,07012025 - 836,Authorized,3/1/2026 0:00,3/16/2026 0:00,49.33,,0,49.33
30011873590,103105,07012025 - 846,Authorized,3/1/2026 0:00,3/16/2026 0:00,33.2,,0,33.2
30015820456,102861,07012025 - 1163,Authorized,3/1/2026 0:00,3/16/2026 0:00,33.64,,0,33.64
30015218503,102835,07012025 - 950,Authorized,3/1/2026 0:00,3/16/2026 0:00,51.8,,0,51.8
35011516594,103256,07012025 - 698,Uncollectible,3/1/2026 0:00,3/16/2026 0:00,0,,0,0
35010412241,103082,07012025 - 1040,Paid,3/1/2026 0:00,3/16/2026 0:00,0,,0,0
35014292235,102993,07012025 - 690,Authorized,3/1/2026 0:00,3/16/2026 0:00,88.11,,0,88.11
